,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 0, 1, 0, 0)",-7130.21,-44.5342,0.549616
"('FeLip9', 'PET', 0, 2, 0, 0)",-7138.84,-42.8126,0.541892
"('FeLip9', 'PET', 0, 2, 1, 1)",-7163.74,-43.3818,0.550302
"('FeLip9', 'PET', 0, 3, 0, 0)",-7136.98,-42.6086,0.557302
"('FeLip9', 'PET', 0, 3, 1, 1)",-7161.8,-42.4222,0.551855
"('FeLip9', 'PET', 0, 4, 0, 0)",-7140.42,-42.7638,0.553095
"('FeLip9', 'PET', 0, 5, 0, 0)",-7139.28,-43.4425,0.543744
"('FeLip9', 'PET', 0, 5, 1, 1)",-7171.62,-44.1902,0.5435
"('FeLip9', 'PET', 0, 6, 0, 0)",-7137.8,-40.4743,0.554592
"('FeLip9', 'PET', 0, 6, 1, 1)",-7163.53,-41.0226,0.53899
"('FeLip9', 'PET', 0, 7, 0, 0)",-7137.8,-43.8426,0.5541
"('FeLip9', 'PET', 0, 7, 1, 1)",-7167.77,-43.5683,0.562984
"('FeLip9', 'PET', 0, 8, 0, 0)",-7136.09,-39.8757,0.545145
"('FeLip9', 'PET', 0, 8, 1, 1)",-7167.14,-41.8693,0.543119
"('FeLip9', 'PET', 0, 9, 0, 0)",-7133.45,-42.7715,0.537224
"('FeLip9', 'PET', 0, 10, 0, 0)",-7134.95,-42.2273,0.536088
"('FeLip9', 'PET', 0, 11, 0, 0)",-7118.35,-41.9979,0.536087
"('FeLip9', 'PET', 0, 12, 0, 0)",-7139.23,-43.3547,0.553989
"('FeLip9', 'PET', 0, 13, 0, 0)",-7131.77,-41.8456,0.532807
"('FeLip9', 'PET', 0, 13, 1, 1)",-7162.04,-42.7305,0.53466
"('FeLip9', 'PET', 0, 14, 0, 0)",-7135.24,-43.9213,0.534393
"('FeLip9', 'PET', 0, 15, 0, 0)",-7118.8,-42.808,0.543786
"('FeLip9', 'PET', 0, 15, 1, 1)",-7135.56,-42.0528,0.524982
"('FeLip9', 'PET', 0, 16, 0, 0)",-7139.16,-43.7555,0.543893
"('FeLip9', 'PET', 0, 17, 0, 0)",-7144.7,-45.4116,0.542477
"('FeLip9', 'PET', 0, 18, 0, 0)",-7133.19,-43.6878,0.533976
"('FeLip9', 'PET', 0, 19, 0, 0)",-7137.24,-42.4264,0.547564
"('FeLip9', 'PET', 0, 20, 0, 0)",-7138.44,-43.0774,0.547546
"('FeLip9', 'PET', 0, 20, 1, 1)",-7170.57,-43.5846,0.548552
"('FeLip9', 'PET', 0, 21, 0, 0)",-7142.95,-43.6999,0.547931
"('FeLip9', 'PET', 0, 21, 1, 1)",-7173.44,-42.8301,0.536854
"('FeLip9', 'PET', 0, 22, 0, 0)",-7123.86,-39.7763,0.554556
"('FeLip9', 'PET', 0, 23, 0, 0)",-7136.79,-43.5739,0.543646
"('FeLip9', 'PET', 0, 24, 0, 0)",-7131.04,-41.9445,0.546383
"('FeLip9', 'PET', 0, 24, 1, 1)",-7167.5,-42.3693,0.546095
"('FeLip9', 'PET', 0, 25, 0, 0)",-7139.19,-43.9958,0.544314
"('FeLip9', 'PET', 0, 26, 0, 0)",-7132.78,-40.7929,0.551011
"('FeLip9', 'PET', 0, 26, 1, 1)",-7162.03,-41.2732,0.553104
"('FeLip9', 'PET', 0, 27, 0, 0)",-7140.64,-43.1239,0.545538
"('FeLip9', 'PET', 0, 27, 1, 1)",-7151.4,-43.885,0.544129
"('FeLip9', 'PET', 0, 28, 0, 0)",-7133.95,-42.5495,0.555224
"('FeLip9', 'PET', 0, 29, 0, 0)",-7128.07,-44.6803,0.55874
"('FeLip9', 'PET', 0, 29, 1, 1)",-7145.78,-41.4051,0.550523
"('FeLip9', 'PET', 0, 30, 0, 0)",-7137.18,-42.9834,0.544907
"('FeLip9', 'PET', 0, 31, 0, 0)",-7136.45,-41.9704,0.548635
"('FeLip9', 'PET', 0, 32, 0, 0)",-7128.34,-42.2277,0.545513
"('FeLip9', 'PET', 0, 32, 1, 1)",-7158.63,-43.4222,0.544104
"('FeLip9', 'PET', 0, 33, 0, 0)",-7138.84,-44.0103,0.539315
"('FeLip9', 'PET', 0, 34, 0, 0)",-7139.29,-41.2034,0.544857
"('FeLip9', 'PET', 0, 34, 1, 1)",-7172.31,-42.1006,0.545005
"('FeLip9', 'PET', 0, 35, 0, 0)",-7136.6,-43.1532,0.546413
"('FeLip9', 'PET', 0, 36, 0, 0)",-7141.35,-43.4297,0.544619
"('FeLip9', 'PET', 0, 37, 0, 0)",-7119.34,-39.9364,0.551707
"('FeLip9', 'PET', 0, 37, 1, 1)",-7109.15,-39.2311,0.541719
"('FeLip9', 'PET', 0, 38, 0, 0)",-7134.78,-42.6023,0.549632
"('FeLip9', 'PET', 0, 39, 0, 0)",-7136.62,-42.6317,0.546128
"('FeLip9', 'PET', 0, 40, 0, 0)",-7139.5,-41.5484,0.547
"('FeLip9', 'PET', 0, 41, 0, 0)",-7142.89,-43.2413,0.538368
"('FeLip9', 'PET', 0, 41, 1, 1)",-7170.59,-42.3159,0.527296
"('FeLip9', 'PET', 0, 42, 0, 0)",-7136.44,-42.5875,0.534959
"('FeLip9', 'PET', 0, 43, 0, 0)",-7134.25,-41.7963,0.551824
"('FeLip9', 'PET', 0, 43, 1, 1)",-7134.34,-37.6435,0.562182
"('FeLip9', 'PET', 0, 44, 0, 0)",-7140.88,-42.9172,0.550274
"('FeLip9', 'PET', 0, 45, 0, 0)",-7140.17,-43.2216,0.545228
"('FeLip9', 'PET', 0, 45, 1, 1)",-7164.05,-42.0311,0.54379
"('FeLip9', 'PET', 0, 46, 0, 0)",-7142.02,-44.1834,0.547075
"('FeLip9', 'PET', 0, 46, 1, 1)",-7166.75,-45.5622,0.547976
"('FeLip9', 'PET', 0, 47, 0, 0)",-7144.85,-45.1201,0.540572
"('FeLip9', 'PET', 0, 47, 1, 1)",-7166.5,-44.5435,0.520652
"('FeLip9', 'PET', 1, 1, 0, 0)",-7142.25,-43.4181,0.550219
"('FeLip9', 'PET', 1, 1, 1, 1)",-7163.15,-32.2205,0.633845
"('FeLip9', 'PET', 1, 1, 2, 2)",-7166.21,-33.5363,0.599506
"('FeLip9', 'PET', 1, 1, 3, 3)",-7169.94,-33.1133,0.562447
"('FeLip9', 'PET', 1, 1, 4, 4)",-7166.96,-31.5422,0.611085
"('FeLip9', 'PET', 1, 1, 5, 9)",-7161.8,-25.7547,0.703962
"('FeLip9', 'PET', 1, 1, 6, 13)",-7167.08,-29.2977,0.628898
"('FeLip9', 'PET', 1, 1, 7, 14)",-7166.66,-26.1796,0.598067
"('FeLip9', 'PET', 1, 1, 8, 26)",-7165.83,-24.5467,0.625654
"('FeLip9', 'PET', 1, 1, 9, 29)",-7169.5,-30.8365,0.588576
"('FeLip9', 'PET', 1, 1, 10, 32)",-7168.1,-26.1067,0.637095
"('FeLip9', 'PET', 1, 1, 11, 51)",-7171.81,-29.6733,0.597873
"('FeLip9', 'PET', 1, 1, 12, 57)",-7171.98,-31.2785,0.648785
"('FeLip9', 'PET', 1, 1, 13, 58)",-7174.12,-32.8807,0.599321
"('FeLip9', 'PET', 1, 1, 14, 81)",-7167.38,-29.9493,0.655057
"('FeLip9', 'PET', 1, 1, 15, 87)",-7168.0,-31.0909,0.642325
"('FeLip9', 'PET', 1, 1, 16, 88)",-7171.26,-33.7226,0.592784
"('FeLip9', 'PET', 1, 1, 17, 92)",-7170.22,-34.5053,0.579436
"('FeLip9', 'PET', 1, 2, 0, 0)",-7143.05,-42.2968,0.551434
"('FeLip9', 'PET', 1, 2, 1, 1)",-7152.16,-21.4989,0.794368
"('FeLip9', 'PET', 1, 2, 2, 2)",-7157.04,-19.0604,0.785375
"('FeLip9', 'PET', 1, 2, 3, 3)",-7161.89,-22.7917,0.676579
"('FeLip9', 'PET', 1, 2, 4, 4)",-7163.02,-25.7409,0.655991
"('FeLip9', 'PET', 1, 2, 5, 6)",-7163.63,-24.3291,0.698529
"('FeLip9', 'PET', 1, 2, 6, 7)",-7163.55,-24.7588,0.687129
"('FeLip9', 'PET', 1, 2, 7, 10)",-7161.3,-23.3964,0.645452
"('FeLip9', 'PET', 1, 2, 8, 15)",-7163.23,-24.5241,0.641618
"('FeLip9', 'PET', 1, 2, 9, 19)",-7163.77,-25.2352,0.662106
"('FeLip9', 'PET', 1, 2, 10, 21)",-7161.91,-20.9664,0.684283
