""
"('FeLip9', 'PET', 0, 1, 0, 0)"
"('FeLip9', 'PET', 0, 2, 0, 0)"
"('FeLip9', 'PET', 0, 2, 1, 1)"
"('FeLip9', 'PET', 0, 3, 0, 0)"
"('FeLip9', 'PET', 0, 3, 1, 1)"
"('FeLip9', 'PET', 0, 4, 0, 0)"
"('FeLip9', 'PET', 0, 5, 0, 0)"
"('FeLip9', 'PET', 0, 5, 1, 1)"
"('FeLip9', 'PET', 0, 6, 0, 0)"
"('FeLip9', 'PET', 0, 6, 1, 1)"
"('FeLip9', 'PET', 0, 7, 0, 0)"
"('FeLip9', 'PET', 0, 7, 1, 1)"
"('FeLip9', 'PET', 0, 8, 0, 0)"
"('FeLip9', 'PET', 0, 8, 1, 1)"
"('FeLip9', 'PET', 0, 9, 0, 0)"
"('FeLip9', 'PET', 0, 10, 0, 0)"
"('FeLip9', 'PET', 0, 11, 0, 0)"
"('FeLip9', 'PET', 0, 12, 0, 0)"
"('FeLip9', 'PET', 0, 13, 0, 0)"
"('FeLip9', 'PET', 0, 13, 1, 1)"
"('FeLip9', 'PET', 0, 14, 0, 0)"
"('FeLip9', 'PET', 0, 15, 0, 0)"
"('FeLip9', 'PET', 0, 15, 1, 1)"
"('FeLip9', 'PET', 0, 16, 0, 0)"
"('FeLip9', 'PET', 0, 17, 0, 0)"
"('FeLip9', 'PET', 0, 18, 0, 0)"
"('FeLip9', 'PET', 0, 19, 0, 0)"
"('FeLip9', 'PET', 0, 20, 0, 0)"
"('FeLip9', 'PET', 0, 20, 1, 1)"
"('FeLip9', 'PET', 0, 21, 0, 0)"
"('FeLip9', 'PET', 0, 21, 1, 1)"
"('FeLip9', 'PET', 0, 22, 0, 0)"
"('FeLip9', 'PET', 0, 23, 0, 0)"
"('FeLip9', 'PET', 0, 24, 0, 0)"
"('FeLip9', 'PET', 0, 24, 1, 1)"
"('FeLip9', 'PET', 0, 25, 0, 0)"
"('FeLip9', 'PET', 0, 26, 0, 0)"
"('FeLip9', 'PET', 0, 26, 1, 1)"
"('FeLip9', 'PET', 0, 27, 0, 0)"
"('FeLip9', 'PET', 0, 27, 1, 1)"
